query_index,query_name,query_artist,precision@1,precision@3,precision@5,precision@10,relevant_count@1,relevant_count@3,relevant_count@5,relevant_count@10
11817,Rest,The Temper Trap,1.0,1.0,1.0,1.0,1,3,5,10
9294,Blame It on My Youth,Brad Mehldau,1.0,1.0,1.0,0.9,1,3,5,9
31685,Pitch the Baby,Cocteau Twins,0.0,0.0,0.0,0.0,0,0,0,0
35390,Black Mass,Electric Wizard,0.0,0.0,0.2,0.1,0,0,1,1
21554,Notas,Gotan Project,1.0,1.0,0.6,0.6,1,3,3,6
12591,Cataracts,Andrew Bird,1.0,1.0,1.0,1.0,1,3,5,10
38180,Space Weaver,Lisa Gerrard,1.0,1.0,1.0,0.5,1,3,5,5
5400,Unbelievable,EMF,1.0,1.0,1.0,0.9,1,3,5,9
25872,Outro for Cell-Scape,Melt-Banana,0.0,0.3333333333333333,0.2,0.1,0,1,1,1
23501,The Forbidden Zone,Misfits,1.0,1.0,1.0,1.0,1,3,5,10
27563,Du und Ich,2raumwohnung,1.0,1.0,0.8,0.5,1,3,4,5
4064,The Church Of Hot Addiction,Cobra Starship,1.0,1.0,1.0,1.0,1,3,5,10
15511,Grape Juice City,Ratatat,0.0,0.0,0.0,0.1,0,0,0,1
40763,By the Grace of God,The Hellacopters,1.0,1.0,1.0,0.8,1,3,5,8
15471,S.O.S. (Anything but Love),Apocalyptica,1.0,1.0,1.0,0.9,1,3,5,9
34397,End of Your Days,Evergrey,1.0,0.6666666666666666,0.6,0.7,1,2,3,7
15288,Soul on Fire,Him,1.0,1.0,1.0,0.8,1,3,5,8
31684,Quiet Little Voices,We Were Promised Jetpacks,1.0,0.6666666666666666,0.6,0.3,1,2,3,3
27587,All For One,Qntal,1.0,0.6666666666666666,0.6,0.3,1,2,3,3
31212,One Small Step,Amon Tobin,1.0,0.3333333333333333,0.2,0.4,1,1,1,4
8483,Rawwwrr!,Bring Me the Horizon,1.0,1.0,1.0,1.0,1,3,5,10
43994,Para bellum,Vader,0.0,0.0,0.0,0.2,0,0,0,2
49138,Kontroll på kontinentet,Kaizers Orchestra,1.0,1.0,0.8,0.9,1,3,4,9
6184,9 to 5,Dolly Parton,0.0,0.3333333333333333,0.4,0.4,0,1,2,4
14290,Poppin' Them Thangs,G-Unit,1.0,1.0,1.0,1.0,1,3,5,10
30523,Shepherds Delight,The Clash,0.0,0.0,0.2,0.2,0,0,1,2
38079,Chemical Smile,Everclear,1.0,1.0,1.0,0.7,1,3,5,7
2984,If Things Were Perfect,Moby,1.0,1.0,1.0,1.0,1,3,5,10
22607,White Rabbit,Collide,1.0,1.0,1.0,0.9,1,3,5,9
292,No Cars Go,Arcade Fire,1.0,1.0,1.0,1.0,1,3,5,10
15151,Come To Life,Alter Bridge,1.0,1.0,0.8,0.5,1,3,4,5
147,Sunshine of Your Love,Cream,1.0,1.0,1.0,1.0,1,3,5,10
13037,I Woke Up Today,Port O'Brien,0.0,0.0,0.0,0.0,0,0,0,0
20217,Songs Sound Much Sadder,Norma Jean,1.0,0.3333333333333333,0.4,0.5,1,1,2,5
35702,The Wall of Yawn,Sleep,1.0,0.6666666666666666,0.8,0.7,1,2,4,7
28479,This Is The End,She Wants Revenge,1.0,1.0,1.0,1.0,1,3,5,10
30537,Lonely Days,Gentleman,1.0,1.0,0.8,0.8,1,3,4,8
8795,Minnie the Moocher,Cab Calloway,1.0,1.0,0.8,0.9,1,3,4,9
46037,The Bad Guy,Reel Big Fish,1.0,1.0,1.0,1.0,1,3,5,10
5221,Knife,Grizzly Bear,1.0,0.6666666666666666,0.6,0.6,1,2,3,6
6439,Why Don't We Do It in the Road?,The Beatles,0.0,0.3333333333333333,0.4,0.4,0,1,2,4
45828,She Moved Thro' The Fair,Órla Fallon,1.0,1.0,0.8,0.7,1,3,4,7
19827,(I Won't) Pay Your Price,Motörhead,1.0,1.0,0.6,0.7,1,3,3,7
9066,Soul For Sahib,Koop,1.0,1.0,1.0,1.0,1,3,5,10
40541,Stick Out,Melt-Banana,0.0,0.0,0.0,0.0,0,0,0,0
22929,It Won't Be Long,Evan Rachel Wood,1.0,0.6666666666666666,0.6,0.6,1,2,3,6
36264,Gonna Give Her All The Love I've Got,Jimmy Ruffin,1.0,1.0,0.8,0.6,1,3,4,6
28875,Raining Again (Steve Angello's vocal mix),Moby,1.0,1.0,1.0,1.0,1,3,5,10
44903,Use Your Brain,DJ Hazard,1.0,1.0,1.0,1.0,1,3,5,10
12586,Where Are You Now,Mumford & Sons,1.0,1.0,1.0,1.0,1,3,5,10
8914,TNT,Tortoise,0.0,0.6666666666666666,0.6,0.4,0,2,3,4
25643,Sign,Flow,1.0,1.0,0.6,0.3,1,3,3,3
29599,We Are The People (Shazam Remix),Empire of the Sun,1.0,1.0,1.0,1.0,1,3,5,10
8535,Permanence,Static-X,1.0,1.0,1.0,1.0,1,3,5,10
17945,Strange Phenomena,Kate Bush,1.0,1.0,0.8,0.4,1,3,4,4
42959,The Proud Parent's Convention Held in the ER,The Number Twelve Looks Like You,1.0,1.0,0.6,0.5,1,3,3,5
49189,In Other Worlds,Azam Ali,0.0,0.0,0.0,0.0,0,0,0,0
42491,The Way To There,Au Revoir Simone,1.0,0.3333333333333333,0.2,0.1,1,1,1,1
4253,The Fourth Drink Instinct,Cute Is What We Aim For,1.0,1.0,1.0,1.0,1,3,5,10
20179,Bunnies,HORSE the band,1.0,1.0,1.0,1.0,1,3,5,10
32465,Somebody Loves You,Betty Who,1.0,1.0,0.8,0.8,1,3,4,8
26831,The Speed of Love,Rush,1.0,0.6666666666666666,0.4,0.3,1,2,2,3
28876,The Orange Theme,Cygnus X,1.0,1.0,1.0,0.9,1,3,5,9
29590,Song for Shelter,Fatboy Slim,0.0,0.6666666666666666,0.8,0.7,0,2,4,7
45976,Consumo Gusto,Ska-P,1.0,1.0,1.0,1.0,1,3,5,10
5692,Graffiti,Maxïmo Park,1.0,1.0,1.0,1.0,1,3,5,10
43632,Blue Be-Bop,RIP SLYME,0.0,0.0,0.0,0.0,0,0,0,0
19881,A Thousand Faces,Creed,1.0,1.0,1.0,1.0,1,3,5,10
18087,Watching TV,Roger Waters,1.0,1.0,0.8,0.7,1,3,4,7
12436,The Modern Leper,Frightened Rabbit,1.0,1.0,1.0,1.0,1,3,5,10
31990,Funk #49,James Gang,1.0,0.3333333333333333,0.2,0.1,1,1,1,1
5658,This Is America,Childish Gambino,1.0,1.0,1.0,0.9,1,3,5,9
43009,Doris,Suicide Silence,0.0,0.3333333333333333,0.4,0.4,0,1,2,4
38177,City Noise,Scarling.,1.0,1.0,1.0,1.0,1,3,5,10
24028,Fool (If You Think It's Over),Chris Rea,1.0,0.6666666666666666,0.8,0.7,1,2,4,7
43954,A Coin Perfectly Spinning,Contemporary Noise Quintet,0.0,0.0,0.0,0.0,0,0,0,0
20485,Afghan,Millencolin,1.0,1.0,1.0,0.9,1,3,5,9
1219,Amber,311,0.0,0.3333333333333333,0.2,0.2,0,1,1,2
44190,Save Your Love,Great White,0.0,0.3333333333333333,0.4,0.4,0,1,2,4
20903,Inspiration Information,Shuggie Otis,1.0,1.0,1.0,0.9,1,3,5,9
22680,Guardian Angel,Jesu,0.0,0.0,0.2,0.1,0,0,1,1
37305,Brandon Lee,The 69 Eyes,1.0,1.0,1.0,0.9,1,3,5,9
5744,Call Me Back,The Strokes,1.0,0.6666666666666666,0.6,0.5,1,2,3,5
4234,I'll Let You Live,Taking Back Sunday,1.0,1.0,1.0,1.0,1,3,5,10
20290,Sedition,Strike Anywhere,1.0,1.0,1.0,1.0,1,3,5,10
50535,Forthcoming Fire,Heaven Shall Burn,1.0,1.0,1.0,1.0,1,3,5,10
28045,In Person,The Pussycat Dolls,0.0,0.3333333333333333,0.2,0.1,0,1,1,1
42666,All'Inizio È La Morte,Haggard,1.0,0.3333333333333333,0.4,0.3,1,1,2,3
4155,Death Valley,Fall Out Boy,1.0,1.0,1.0,0.9,1,3,5,9
40434,Cindy (Rotten Tanx),Thurston Moore,0.0,0.3333333333333333,0.4,0.2,0,1,2,2
708,Chicago,Sufjan Stevens,1.0,1.0,1.0,1.0,1,3,5,10
2863,Gold,Kiiara,0.0,0.0,0.2,0.2,0,0,1,2
38340,Back To Zero,The Rolling Stones,1.0,0.3333333333333333,0.4,0.2,1,1,2,2
9650,Someday We'll All Be Free,Donny Hathaway,1.0,1.0,1.0,1.0,1,3,5,10
7461,Hard to See,Five Finger Death Punch,1.0,1.0,1.0,1.0,1,3,5,10
26965,Boing Boom Tschak,Kraftwerk,0.0,0.6666666666666666,0.8,0.7,0,2,4,7
628,Stop Crying Your Heart Out,Oasis,1.0,1.0,1.0,1.0,1,3,5,10
9269,Loungin',Guru,1.0,1.0,1.0,0.9,1,3,5,9
12352,Sisters of Mercy,Leonard Cohen,1.0,1.0,0.8,0.9,1,3,4,9
36540,Starcleaner,The Brian Jonestown Massacre,0.0,0.3333333333333333,0.2,0.1,0,1,1,1
