sample_id,recent_songs,recent_tags_count,precision@1,precision@3,precision@5,precision@10,relevant_count@1,relevant_count@3,relevant_count@5,relevant_count@10
1,Rest - The Temper Trap | Blame It on My Youth - Brad Mehldau | Pitch the Baby - Cocteau Twins | Black Mass - Electric Wizard | Notas - Gotan Project,18,1.0,0.3333333333333333,0.2,0.1,1,1,1,1
2,Back From Space - Amon Tobin | Gerald Did What - Evergreen Terrace | The Supine - Andrew Bird | Shadowplay - Joy Division | Know Me - Frankie Rose,20,0.0,0.0,0.0,0.0,0,0,0,0
3,Stars Tonight - Lady Antebellum | Things I Cannot Recall - Blind Pilot | These New Knights - Ou Est Le Swimming Pool | Chelsea - The Summer Set | Transfer Complete - Dargaard,12,0.0,0.0,0.0,0.0,0,0,0,0
4,There Goes The Fear - Doves | Violent & Funky - Infectious Grooves | You Got Served - Lovehatehero | The Body Breaks - Devendra Banhart | Mondegreen - Yeasayer,21,1.0,0.6666666666666666,0.6,0.3,1,2,3,3
5,Mary Jane Shoes - Fergie | Shiller - Ratatat | My Music - Sistars | 21st Century - Red Hot Chili Peppers | New Flowers - Tanlines,14,0.0,0.0,0.0,0.0,0,0,0,0
6,In the Beginning - Amorphis | Electricity Drive - Alphawezen | Victory Song - Ensiferum | Paint Pastel Princess - Silverchair | Kairos - Sepultura,18,0.0,0.0,0.2,0.1,0,0,1,1
7,Cult - Slayer | The Dress - Blonde Redhead | Honky Tonk Women - The Rolling Stones | Why Go? - Faithless | The Ponytail Parades - Emery,26,0.0,0.0,0.0,0.0,0,0,0,0
8,Reality Clash - Antimatter | Babylon - David Gray | Stuck Between - Riverside | Strange - The Feeling | My Lover's Box - Garbage,23,0.0,0.0,0.0,0.0,0,0,0,0
9,Skinny Boy - Amy Millan | Love Thing - Joe Satriani | Don't Know Why - Norah Jones | Treading Water - Alex Clare | Next To Me - Imagine Dragons,14,0.0,0.0,0.0,0.0,0,0,0,0
10,Polska - Kult | Army Of Darkness - Amon Amarth | Missing The War - Ben Folds Five | Basscadet - Autechre | Consequences - Iced Earth,14,0.0,0.0,0.0,0.0,0,0,0,0
11,That's How You Know - Amy Adams | The Definition - Scooter | Freestyle 4 - Kanye West | Sinner - Drowning Pool | Until the End - Norah Jones,13,0.0,0.0,0.0,0.0,0,0,0,0
12,Time Take - Smolik | Lai Lai Hei - Ensiferum | You Already Did - Russian Circles | Spinning - Jack's Mannequin | Feel Like I Do - Disclosure,11,0.0,0.0,0.0,0.0,0,0,0,0
13,Hurry Up and Wait - Stereophonics | Tuff Luff - The Unicorns | Inamorata - Animals as Leaders | Aurora Borealis - Meat Puppets | Dance Hall - Modest Mouse,15,1.0,0.6666666666666666,0.6,0.8,1,2,3,8
14,Fall Asleep - Rodrigo Amarante | Please Mr. Postman - The Marvelettes | Runaway Car - Mat Kearney | P-rofi - Stafrænn Hákon | Easier Said Than Done - Morcheeba,14,0.0,0.0,0.0,0.0,0,0,0,0
15,You Could Make A Killing - Aimee Mann | Wash Off - Deerhunter | Violent Life - Blonde Redhead | Tyler - Toadies | Dubplate Murder Sound - Shitmat,16,0.0,0.0,0.0,0.2,0,0,0,2
16,We Build Then We Break - The Fray | I Love Being Here With You - Diana Krall | My Sweet Lord - George Harrison | It's All I Can Do - The Cars | NJ Legion Iced Tea - A Day to Remember,16,0.0,0.3333333333333333,0.2,0.3,0,1,1,3
17,Lost in Despair - Ensiferum | The Fly - U2 | Good Morning Revival - Good Charlotte | All Day Breakfast - Jel | Laughable Butane Bob - AFX,14,0.0,0.0,0.0,0.0,0,0,0,0
18,From the Ritz to the Rubble - Arctic Monkeys | My Manic and I - Laura Marling | The Day Before You Came - ABBA | Trinity (Gigglebush) - Bongzilla | Shutdown - Skepta,16,0.0,0.0,0.0,0.2,0,0,0,2
19,The Pirate's Gospel - Alela Diane | Riders On The Storm - Die Apokalyptischen Reiter | Elysian Feels - The Future Sound of London | The Black Canvas - Borknagar | Muscle Cars - Mylo,16,0.0,0.0,0.0,0.0,0,0,0,0
20,Remember The Mountain Bed - Billy Bragg & Wilco | I Think I Love You - The Partridge Family | Slowly Surely - Jill Scott | Guy Who Got a Headache and Accidentally Saves the World - The Flaming Lips | Uncle Tom's Cabin - Warrant,16,0.0,0.0,0.0,0.0,0,0,0,0
21,Cloister - Loscil | Hellraiser - Ozzy Osbourne | Please Do Not Let Me Go - Ryan Adams | No Love Lost - Joy Division | The Gulag Orkestar - Beirut,18,0.0,0.0,0.0,0.0,0,0,0,0
22,White Room - Cream | Bangla Soul - Baul Dimension | Sinister - Pentagram | Godspell - The Cardigans | A Real Woman - Squarepusher,19,0.0,0.0,0.2,0.1,0,0,1,1
23,A Woman's Voice - Wax Tailor | Lake Erie Rainfall - Jim Brickman | Hooked - Seabound | Nur mit dir - Element of Crime | Face of Melinda - Opeth,15,0.0,0.0,0.0,0.0,0,0,0,0
24,This Dark Matter - London Elektricity | Looking For Somebody - Fleetwood Mac | 100 Dollars - Manchester Orchestra | Ring Them Bells - Sufjan Stevens | Missing Those Days - Gentleman,15,0.0,0.0,0.0,0.0,0,0,0,0
25,Another Woman - Moby | Plagueheritage - Neaera | Obsessed - Mariah Carey | Halt Mich - Philipp Poisel | Dom som försvann - Kent,17,0.0,0.0,0.0,0.0,0,0,0,0
26,I Met Your Mercy - Remy Shand | Der letzte Tanz - Schandmaul | Diving - 4 Strings | Without Emotions - Combichrist | Streets of Tomorrow - Angra,7,0.0,0.0,0.0,0.1,0,0,0,1
27,Waking Up Beside You - Stabbing Westward | Becoming - Pantera | Old Yellow Bricks - Arctic Monkeys | Keep It Clean - Camera Obscura | Jabo's Night Out - Plej,18,1.0,0.6666666666666666,0.4,0.2,1,2,2,2
28,Maddening Disdain - Arsis | Scorned - Rawthang | Harboring An Apparition - Mouth of the Architect | At The same time - Hindi Zahra | Thunder Underground - Ozzy Osbourne,8,0.0,0.0,0.0,0.0,0,0,0,0
29,"Narcoleptic - Placebo | Alone I Break - Korn | Charmer - Kings of Leon | Cry, Cry, Cry - Johnny Cash | Bohemian Grove - Emmure",19,1.0,0.6666666666666666,0.4,0.4,1,2,2,4
30,Symmetry - Dethklok | Doll Parts - Hole | Body And Soul - Billie Holiday | Come to Daddy - The Dillinger Escape Plan | Blaue Flecken - Rosenstolz,17,0.0,0.0,0.0,0.0,0,0,0,0
31,No Man Can Find The War - Tim Buckley | Neighbour Riffs - Surfer Blood | Terrible - Insane Clown Posse | Saltwater - Chicane | Jet Pilot - System of a Down,22,0.0,0.0,0.0,0.0,0,0,0,0
32,Something I Never Had - Lindsay Lohan | Slammin - Pulsedriver | Alexandria - Kamelot | Don't Come Close - Ramones | Don't Forget Me (When I'm Gone) - Glass Tiger,11,0.0,0.0,0.0,0.0,0,0,0,0
33,It's Been Awhile - Staind | I'm You - Leona Lewis | The Weight - The Band | This Is The Time - Billy Joel | Careful - Paramore,15,0.0,0.3333333333333333,0.2,0.1,0,1,1,1
34,On Every Other Street - Cabaret Voltaire | Burning Down the Nicotine Armoire - Dance Gavin Dance | Blood On My Hands - Morbid Angel | Endings Without Stories - Alesana | Watch the Tapes - LCD Soundsystem,12,0.0,0.0,0.0,0.0,0,0,0,0
35,"Mannequin - Katy Perry | Lost, Picking Flowers In the Woods - Black Moth Super Rainbow | I Just Died In Your Arms - Northern Kings | Nobody Loves Me - Limp Bizkit | Sublime - Ferry Corsten",10,0.0,0.0,0.0,0.0,0,0,0,0
36,I Have Failed - Crowbar | Brooks Was Here - Thomas Newman | Hey Ya - Obadiah Parker | Emergency Call - Matt Costa | City Song - Daughters,16,0.0,0.0,0.0,0.0,0,0,0,0
37,Fall At Your Feet - Boy & Bear | The Individual - Spiritualized | Snakepit - The Cure | Romeo & Julia - NIHAO? | On Wings Of Integrity - MyChildren MyBride,30,0.0,0.0,0.0,0.0,0,0,0,0
